Employment.1,EdLevel.1,YearsCodePro,DevType,OrgSize,Country,USD Salary,OpSys,Age.1,Gender_sex,Mental Health,logy
Employed,Masters degree,5,Data scientist or machine learning specialist,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,38720,Windows,25-34,Man Bisexual,1,4.587935349
Employed,Bachelors degree,2,Developer,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,58080,Windows,18-24,Man Straight ,0,4.764026608
Employed,Bachelors degree,10,Engineering manager,20 to 99 employees,United States of America,194400,Linux-based,35-44,Man Straight ,0,5.288696261
Employed,Bachelors degree,5,Developer,2 to 9 employees,United States of America,65000,macOS,25-34,Man Straight ,0,4.812913357
Employed,Masters degree,5,Developer,"5,000 to 9,999 employees",United States of America,110000,macOS,25-34,Man Straight ,0,5.041392685
Employed,Masters degree,10,Engineer,"1,000 to 4,999 employees",Austria,199500,macOS,25-34,Woman Straight ,0,5.2999429
Employed,Something else,20,Developer,100 to 499 employees,Canada,91250,Windows,35-44,Man Straight ,0,4.960232873
Employed,Masters degree,9,Developer,20 to 99 employees,Germany,89250,macOS,25-34,Man Straight ,0,4.950608225
Employed,Bachelors degree,5,Developer,20 to 99 employees,United States of America,106960,macOS,25-34,Man Straight ,0,5.029221394
Employed,Masters degree,14,Developer,"10,000 or more employees",United States of America,130000,Windows,35-44,Man Straight ,1,5.113943352
Employed,Bachelors degree,21,Developer,"10,000 or more employees",United States of America,102000,Windows,55-64,Man Straight ,0,5.008600172
Employed,Bachelors degree,5,Developer,"1,000 to 4,999 employees",United States of America,135000,macOS,25-34,Woman Straight ,1,5.130333768
Employed,Some college/university study without earning a degree,25,Developer,20 to 99 employees,Germany,105000,Windows,55-64,Man Straight ,0,5.021189299
Employed,Masters degree,5,Developer,100 to 499 employees,United States of America,141000,Windows,25-34,Woman Straight ,1,5.149219113
Employed,Bachelors degree,4,Developer,2 to 9 employees,Canada,62050,Linux-based,25-34,Man Straight ,0,4.792741786
Employed,Bachelors degree,12,Developer,500 to 999 employees,United States of America,150000,macOS,35-44,Man Straight ,1,5.176091259
Employed,Bachelors degree,2,Developer,"10,000 or more employees",Germany,63000,Linux-based,18-24,Man Straight ,1,4.799340549
Employed,Masters degree,20,Developer,500 to 999 employees,United States of America,160000,Windows,35-44,Man Straight ,0,5.204119983
Employed,Some college/university study without earning a degree,20,Developer,100 to 499 employees,Uruguay,150000,macOS,35-44,Man Straight ,0,5.176091259
Employed,Bachelors degree,7,Developer,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,66550,Windows,25-34,Man Straight ,0,4.82314806
Employed,Bachelors degree,8,Developer,100 to 499 employees,Spain,94500,Windows,25-34,Man Straight ,1,4.975431809
Employed,Masters degree,6,Developer,100 to 499 employees,Germany,70350,macOS,35-44,Man Prefer not to say,1,4.847264102
Employed,Masters degree,5,Engineer,20 to 99 employees,France,63000,Windows,25-34,Man Straight ,0,4.799340549
Employed,Masters degree,19,Developer,100 to 499 employees,France,63000,Windows,35-44,Man Straight ,0,4.799340549
Employed,Masters degree,5,Developer,10 to 19 employees,United States of America,166000,macOS,25-34,Woman Straight ,1,5.220108088
Employed,Other doctoral degree ,3,Data scientist or machine learning specialist,20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,50820,Linux-based,25-34,Man Straight ,1,4.706034661
Independent contractor,Some college/university study without earning a degree,22,Developer,100 to 499 employees,United States of America,450000,Linux-based,35-44,Man Straight ,1,5.653212514
Employed,Masters degree,1,Developer,"10,000 or more employees",Germany,78750,macOS,25-34,Man Straight ,0,4.896250562
Employed,Bachelors degree,4,Developer,10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,45980,Windows,25-34,Prefer not to say Prefer not to say,1,4.662568967
Employed,Masters degree,17,Developer,100 to 499 employees,United States of America,200000,macOS,35-44,Woman Gay or Lesbian,0,5.301029996
Employed,Some college/university study without earning a degree,5,Data scientist or machine learning specialist,100 to 499 employees,United States of America,35000,Windows,25-34,Man Straight ,0,4.544068044
Employed,Bachelors degree,7,Developer,100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,72600,Windows,25-34,Man Straight ,1,4.860936621
